ID,Tolid,Tool,True Positives (TP),False Positives (FP),False Negatives (FN),True Negatives (TN),Precision,Recall,Accuracy,F1-score,Reference TP,Reference TN,Non classified,Reference chromosome scaffolds,Chromosome scaffolds classified
RC-2013,daFilPyra1,fcs,158,687,0,5231,0.18698224852071005,1.0,0.8869321922317314,0.3150548354935194,158,5918,-,94,94
RC-2013,daFilPyra1,tiara,158,5898,0,20,0.02608982826948481,1.0,0.029295589203423306,0.05085291277759897,158,5918,-,94,94
RC-2013,daFilPyra1,fcs+tiara,158,678,0,5240,0.18899521531100477,1.0,0.8884134298880842,0.317907444668008,158,5918,-,94,94
RC-2013,daFilPyra1,sourmash_without_filters,144,1762,14,4156,0.07555089192025184,0.9113924050632911,0.7077024358130349,0.13953488372093026,158,5918,29,94,94
RC-2013,daFilPyra1,sourmash_db_filter_published_assembly,136,827,22,5091,0.14122533748701974,0.8607594936708861,0.8602699144173799,0.24264049955396969,158,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_topN_3,128,665,30,5253,0.1614123581336696,0.810126582278481,0.8856155365371955,0.2691903259726604,158,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_topN_10,129,673,29,5245,0.16084788029925187,0.8164556962025317,0.8844634628044766,0.26875,158,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_topN_50,131,753,27,5165,0.14819004524886878,0.8291139240506329,0.8716260697827518,0.2514395393474088,158,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_topN_100,131,764,27,5154,0.1463687150837989,0.8291139240506329,0.869815668202765,0.24881291547958218,158,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_containment_0%,131,796,27,5122,0.1413160733549083,0.8291139240506329,0.8645490454246214,0.24147465437788018,158,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_containment_1%,131,796,27,5122,0.1413160733549083,0.8291139240506329,0.8645490454246214,0.24147465437788018,158,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_containment_10%,128,671,30,5247,0.16020025031289112,0.810126582278481,0.8846280447662936,0.26750261233019856,158,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_containment_20%,107,660,51,5258,0.1395045632333768,0.6772151898734177,0.8829822251481237,0.23135135135135135,158,5918,36,94,76
RC-2013,daFilPyra1,sourmash_db_filter_kmers_2,129,759,29,5159,0.14527027027027026,0.8164556962025317,0.8703094140882159,0.24665391969407263,158,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_kmers_10,127,670,31,5248,0.15934755332496864,0.8037974683544303,0.8846280447662936,0.2659685863874346,158,5918,36,94,93
