ID,Tolid,Tool,True Positives (TP),False Positives (FP),False Negatives (FN),True Negatives (TN),Precision,Recall,Accuracy,F1-score,Reference TP,Reference TN,Non classified,Reference chromosome scaffolds,Chromosome scaffolds classified
RC-2013,daFilPyra1,fcs,94,687,0,5231,0.1203585147247119,1.0,0.8857285429141717,0.21485714285714283,94,5918,-,94,94
RC-2013,daFilPyra1,tiara,94,5898,0,20,0.01568758344459279,1.0,0.018962075848303395,0.030890568517909955,94,5918,-,94,94
RC-2013,daFilPyra1,fcs+tiara,0,678,0,5240,0.0,0,0.8854342683338966,0,0,5918,-,94,0
RC-2013,daFilPyra1,sourmash_without_filters,94,1762,0,4156,0.05064655172413793,1.0,0.7069194943446441,0.09641025641025641,94,5918,29,94,94
RC-2013,daFilPyra1,sourmash_db_filter_published_assembly,93,827,0,5091,0.10108695652173913,1.0,0.8624188986857428,0.18361303060217177,93,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_topN_3,93,665,0,5253,0.12269129287598944,1.0,0.8893694892696723,0.21856639247943596,93,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_topN_10,93,673,0,5245,0.12140992167101827,1.0,0.8880385959075029,0.21653084982537835,93,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_topN_50,93,753,0,5165,0.1099290780141844,1.0,0.8747296622858094,0.19808306709265178,93,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_topN_100,93,764,0,5154,0.10851808634772463,1.0,0.8728996839128265,0.19578947368421054,93,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_containment_0%,93,796,0,5122,0.1046119235095613,1.0,0.8675761104641491,0.1894093686354379,93,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_containment_1%,93,796,0,5122,0.1046119235095613,1.0,0.8675761104641491,0.1894093686354379,93,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_containment_10%,93,671,0,5247,0.12172774869109948,1.0,0.8883713192480452,0.21703617269544925,93,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_containment_20%,76,660,17,5258,0.10326086956521739,0.8172043010752689,0.8873731492264182,0.18335343787696018,93,5918,36,94,76
RC-2013,daFilPyra1,sourmash_db_filter_kmers_2,93,759,0,5159,0.10915492957746478,1.0,0.8737314922641823,0.19682539682539682,93,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_kmers_10,93,670,0,5248,0.1218872870249017,1.0,0.8885376809183164,0.21728971962616822,93,5918,36,94,93
RC-2013,daFilPyra1,sourmash_db_filter_kmers_50,21,649,72,5269,0.03134328358208955,0.22580645161290322,0.8800532357344868,0.05504587155963302,93,5918,36,94,21
RC-2013,daFilPyra1,sourmash_db_filter_kmers_100,20,620,73,5298,0.03125,0.21505376344086022,0.8847113625020795,0.054570259208731244,93,5918,36,94,20
RC-2016,gfHygHelo1,fcs,55,201,0,1836,0.21484375,1.0,0.9039196940726577,0.3536977491961415,55,2037,-,55,55
RC-2016,gfHygHelo1,tiara,55,291,0,1746,0.15895953757225434,1.0,0.8608986615678776,0.2743142144638404,55,2037,-,55,55
RC-2016,gfHygHelo1,fcs+tiara,1,171,0,1866,0.005813953488372093,1.0,0.9160942100098135,0.011560693641618497,1,2037,-,55,1
RC-2016,gfHygHelo1,sourmash_without_filters,55,1308,0,729,0.04035216434336023,1.0,0.37476099426386233,0.07757404795486601,55,2037,1204,55,55
RC-2016,gfHygHelo1,sourmash_db_filter_published_assembly,55,1308,0,729,0.04035216434336023,1.0,0.37476099426386233,0.07757404795486601,55,2037,1204,55,55
